time;accelX;gyroZ
18:49:35.163;-7.71;3.18
18:49:35.185;-5.02;2.9
18:49:35.185;-8.27;3.58
18:49:35.219;-9.84;3.53
18:49:35.242;5.59;1.98
18:49:35.242;0.77;1.35
18:49:35.266;3.33;1.16
18:49:35.298;3.94;0.53
18:49:35.298;8.66;0.34
18:49:35.320;5.3;0.05
18:49:35.320;1.95;0.17
18:49:35.366;0.18;-0.26
18:49:35.377;-3.32;-0.14
18:49:35.377;-1.64;-0.08
18:49:35.399;3.01;-0.03
18:49:35.433;-2.91;-0.11
18:49:35.433;-0.43;0.03
18:49:35.466;-6.02;-0.27
18:49:35.478;1.13;-0.01
18:49:35.478;2.51;0.25
18:49:35.511;2.6;0.16
18:49:35.534;1.41;0.11
18:49:35.534;1.07;0.12
18:49:35.558;1.89;0.02
18:49:35.590;-2.02;0.15
18:49:35.590;-2.44;-0.09
18:49:35.613;2.75;0.1
18:49:35.613;4.39;0.15
18:49:35.639;2.57;0.16
18:49:35.671;4.81;0.02
18:49:35.671;5.03;0.09
18:49:35.692;1.58;-0.01
18:49:35.726;-0.01;-0.24
18:49:35.726;4.9;0.02
18:49:35.750;4.36;-0.04
18:49:35.770;-3.33;0.17
18:49:35.770;-0.57;0.15
18:49:35.805;1.57;0.18
18:49:35.828;-9.85;0.26
18:49:35.828;6.44;0.04
18:49:35.849;-1.46;-0.02
18:49:35.882;2.8;-0.16
18:49:35.882;3.01;-0.02
18:49:35.908;-0.69;0.06
18:49:35.929;-2.57;0.09
18:49:35.929;2.94;0.09
18:49:35.962;0.85;0.14
18:49:35.962;2.97;0.06
18:49:35.985;-11.28;1.1
18:49:36.006;-8.54;2.85
18:49:36.006;-10.61;4.42
18:49:36.041;-5.18;5.1
18:49:36.063;-15.14;4.7
18:49:36.096;-8.25;5.39
18:49:36.096;-2.65;5.99
18:49:36.120;-5.12;5.88
18:49:36.141;-1.28;5.75
18:49:36.141;8.06;5.14
18:49:36.165;3.77;5.16
18:49:36.165;-6.33;5.37
18:49:36.188;-6.77;5.32
18:49:36.221;4.74;5.64
18:49:36.221;-9.88;4.79
18:49:36.242;-6.95;3.93
18:49:36.265;-14.21;3.49
18:49:36.265;3.56;3.22
18:49:36.299;25.34;2.37
18:49:36.322;-1.96;-0.11
18:49:36.322;-2.29;-0.98
18:49:36.347;-4.91;-1.03
18:49:36.378;0.58;0.15
18:49:36.378;2.01;-1.3
18:49:36.400;0.67;-3.91
18:49:36.426;-18.1;-3.32
18:49:36.484;-1.87;-1.67
18:49:36.484;5.03;-1.81
18:49:36.485;7.1;-1.29
18:49:36.502;-5.58;-1.18
18:49:36.502;9.6;-0.92
18:49:36.560;1.48;-0.72
18:49:36.560;-5.93;-0.52
18:49:36.560;4.72;-0.28
18:49:36.583;2.98;-0.37
18:49:36.637;-0.23;-0.35
18:49:36.637;7.47;-0.15
18:49:36.639;-3.32;-0.17
18:49:36.693;8.32;0.05
18:49:36.693;4.26;0.1
18:49:36.694;2.35;-0.03
18:49:36.694;-3.4;-0.03
18:49:36.719;3.9;0.09
18:49:36.749;3.27;-0.03
18:49:36.749;0.34;0.02
18:49:36.772;2.97;0.13
18:49:36.795;-0.64;-0.1
18:49:36.795;2.56;0.05
18:49:36.852;1;0.03
18:49:36.853;-2.43;1.86
18:49:36.853;-6.42;3.14
18:49:36.874;-3.04;3.39
18:49:36.930;-12.87;3.5
18:49:36.930;-2.82;4.54
18:49:36.930;-4.56;4.62
18:49:36.998;-4.74;4.62
18:49:36.998;0.14;5.02
18:49:36.999;0.57;4.96
18:49:36.999;0.18;5.09
18:49:37.009;-7.98;4.94
18:49:37.067;-0.54;4.57
18:49:37.067;-3.05;4.34
18:49:37.068;-6.19;4.37
18:49:37.088;3.47;4.13
18:49:37.088;-6.35;4.61
18:49:37.146;-5.77;3.76
18:49:37.146;-3.87;3.28
