time;accelX;accelY;accelZ;gyroX;gyroY;gyroZ
11:42:51.236;1.26;2.64;-10.78;0.58;0.42;-1.91
11:42:51.282;1.4;-1.13;-13.46;0.03;-0.48;-2.07
11:42:51.363;3.51;-1.99;-10.83;0.16;-0.27;-1.88
11:42:51.385;1.51;-3.37;-9.67;0.55;0.02;-1.57
11:42:51.406;2.94;-1.3;-8.03;0.21;-0.67;-1.99
11:42:51.450;2.86;-1.55;-12.55;-0.72;-0.57;-1.71
11:42:51.531;1.26;-2.87;-11.8;-0.19;-0.56;-1.42
11:42:51.552;-0.49;-0.22;-9.62;-0.31;0.01;-1.12
11:42:51.595;1.29;2.46;-16.8;0.16;0.24;-0.88
11:42:51.618;3.59;1.29;-10.15;0.12;0.63;-0.56
11:42:51.662;1.86;-1.22;-9.33;0.15;-0.43;-0.54
11:42:51.719;0.82;-1.7;-12.06;-0.02;0.02;-0.21
11:42:51.763;1.31;-0.72;-8.07;-0.15;0.27;-0.48
11:42:51.787;0.11;0.01;-16.34;0.17;0.73;-0.5
11:42:51.831;0.96;-2.63;-12.31;0.07;0.25;-0.09
11:42:51.888;0.8;-1.81;-10.33;-0.25;-0.7;-0.03
11:42:51.933;0.83;-3.28;-7.73;-0.22;-0.48;0
11:42:51.956;-0.09;-0.34;-13.4;0.02;-0.63;-0.12
11:42:52.000;1.9;0.09;-13.29;-0.2;-0.53;0.05
11:42:52.045;-0.57;1.87;-14.57;-0.01;0.13;-0.16
11:42:52.103;1.08;-1.86;-11.46;-0.25;-0.02;0.1
11:42:52.148;-1.13;-3.7;-15.73;0;-0.91;-0.1
11:42:52.192;1.12;-1.92;-17.04;0.25;0.14;0.1
11:42:52.215;0.4;-2.31;-17.24;0.36;0.29;-0.06
11:42:52.260;0.46;-2.26;-11.96;0.17;0.17;0.01
11:42:52.315;2.29;-2.74;-16.33;0.17;0.32;-0.08
11:42:52.339;1.87;-0.79;-15.72;0.34;0.35;0.21
11:42:52.383;-0.91;-0.44;-17.56;0.49;0.28;-0.26
11:42:52.428;1.25;-2.46;-7.48;0.25;0.29;0.26
11:42:52.485;1.47;-1.2;-6.18;-0.45;0.36;-0.21
11:42:52.508;1.58;-2.59;-11.4;0.32;0.48;-0.05
11:42:52.552;-1.67;1.21;-3.43;-0.19;-0.3;-0.13
11:42:52.599;2.49;-0.9;-8.87;-0.1;-0.27;0.19
11:42:52.643;1.56;-3.01;-10.11;-0.54;-0.09;0.03
11:42:52.677;1.71;-3.23;-12.05;-0.24;-0.12;0.07
11:42:52.721;2.4;3.5;-22.49;-0.17;0.55;0.12
11:42:52.765;-0.6;-1.47;-13.13;-0.28;-0.52;0.04
11:42:52.812;0.89;-0.19;-14.91;0.21;-0.17;0.12
11:42:52.866;0.18;-2.55;-19.77;0.54;0.45;-0.09
11:42:52.890;1.24;-3.02;-9.79;-0.14;0.14;0.15
11:42:52.934;0.92;0.31;-10.52;-0.04;-0.05;-0.07
11:42:52.980;2.48;-5.2;-13.98;-0.11;-0.1;0.04
11:42:53.024;2.81;1.13;-12.84;-0.39;0.29;0.04
11:42:53.059;0.88;2.55;-10.72;-0.12;-0.64;-0.1
11:42:53.104;0.99;-2.62;-7.69;0.03;0.07;0.19
11:42:53.150;1.57;-4.26;-22.84;0.69;0.54;-0.11
11:42:53.172;1.91;-3.56;-9.15;-0.14;-0.03;0.11
11:42:53.227;1.26;5.08;-10.76;0.15;-0.43;-0.14
11:42:53.272;2.14;-3.99;-15.99;-0.62;-0.38;0.16
11:42:53.318;2.92;0.04;-13.88;-0.05;0.22;-0.04
11:42:53.361;-1.82;-0.76;-11.25;-0.35;-0.33;0.07
11:42:53.385;0.41;2.66;-18.03;0.4;0.09;0.14
11:42:53.442;1.86;-1.18;-9.53;0.16;0.75;-0.1
11:42:53.490;2.25;-0.33;-14.97;0.41;0.62;0.13
11:42:53.508;-0.18;3.73;-10.57;-0.11;-0.24;-0.11
11:42:53.553;2.31;-3.22;-9.29;-0.47;-0.61;0.1
11:42:53.610;2.12;-1.03;-19.14;0.05;0.19;-0.01
11:42:53.656;0.12;-5.77;-12.5;-0.3;-0.34;-0.09
11:42:53.701;-1.83;-0.97;-14.12;0.39;0.19;0.05
11:42:53.722;2.17;-3.28;-7.93;-0.24;0.28;-0.05
11:42:53.766;1.69;4.48;-11.6;0.02;0.16;-0.1
11:42:53.825;0.68;-2.45;-16.75;-0.22;0.73;-0.04
11:42:53.872;3.14;-0.73;-12.9;-0.17;-0.16;0.16
11:42:53.891;1.75;-0.25;-13.13;-0.2;-0.09;0.06
11:42:53.935;2.4;-2.57;-15.49;0.48;0.34;-0.11
11:42:53.993;2.67;-2.16;-13.99;0.18;-0.03;0.19
